id,filename,image_url,title,author,category,auth_user,publisher,,
1,044310073X.jpg,http://ecx.images-amazon.com/images/I/41kSLEoswsL.jpg,"Oral and Maxillofacial Surgery: An Objective-Based Textbook, 2e",,16,8,Default Publisher,,
2,1438005687.jpg,http://ecx.images-amazon.com/images/I/510l0qhi01L.jpg,"Barron's GRE, 21st Edition",Sharon Weiner Green M.A.,28,8,Default Publisher,,
3,0060750715.jpg,http://ecx.images-amazon.com/images/I/51p5aUY%2BOKL.jpg,George Balanchine: The Ballet Maker (Eminent Lives),Robert Gottlieb,1,8,Default Publisher,,
4,1580237959.jpg,http://ecx.images-amazon.com/images/I/51pum0eWe4L.jpg,"A Partner in Holiness: Deepening Mindfulness, Practicing Compassion and Enriching Our Lives Through the Wisdom of R. Levi Yitzhak of Berdichev's, Vol. 2  (Institute for Jewish Spirituality)",Rabbi Jonathan P. Slater DMin,21,8,Default Publisher,,
5,0135137829.jpg,http://ecx.images-amazon.com/images/I/51PuTPPCxaL.jpg,Construction Scheduling: Principles and Practices (2nd Edition),Jay S. Newitt,0,8,Default Publisher,,
6,0312556411.jpg,http://ecx.images-amazon.com/images/I/51uNnIlIwrL.jpg,"Literature and Its Writers: A Compact Introduction to Fiction, Poetry, and Drama",Ann Charters,15,8,Default Publisher,,
7,0393339157.jpg,http://ecx.images-amazon.com/images/I/51VIlqRy-VL.jpg,Straight on Till Morning: The Life of Beryl Markham,Mary S. Lovell,10,8,Default Publisher,,
8,0521456924.jpg,http://ecx.images-amazon.com/images/I/41n7iZq-0jL.jpg,Diagrammatica: The Path to Feynman Diagrams (Cambridge Lecture Notes in Physics),Martinus Veltman,23,8,Default Publisher,,
9,0898699223.jpg,http://ecx.images-amazon.com/images/I/41xLYt-v6nL.jpg,Book of Common Prayer 1979: Large Print edition,,9,8,Default Publisher,,
10,0545700272.jpg,http://ecx.images-amazon.com/images/I/51KyLXczCqL.jpg,A Handful of Stars,Cynthia Lord,4,8,Default Publisher,,
11,1616494441.jpg,http://ecx.images-amazon.com/images/I/51Jku59B9CL.jpg,Almost Anorexic: Is My (or My Loved One's) Relationship with Food a Problem? (The Almost Effect),Ph.D. Jennifer J Thomas,25,8,Default Publisher,,
12,1627227318.jpg,http://ecx.images-amazon.com/images/I/41LkijoCvuL.jpg,Pre-ANDA Litigation: Strategies and Tactics for Developing a Drug Product and Patent Portfolio,,14,8,Default Publisher,,
13,1849056536.jpg,http://ecx.images-amazon.com/images/I/51Tjv23guEL.jpg,"Creative, Successful, Dyslexic: 23 High Achievers Share Their Stories",,19,8,Default Publisher,,
14,0313335427.jpg,http://ecx.images-amazon.com/images/I/51C16779N8L.jpg,Organ Transplantation (Health and Medical Issues Today),David Petechuk,11,8,Default Publisher,,
15,0316185434.jpg,http://ecx.images-amazon.com/images/I/51JFeqcU96L.jpg,The Age of Acquiescence: The Life and Death of American Resistance to Organized Wealth and Power,Steve Fraser,2,8,Default Publisher,,
16,0972467637.jpg,http://ecx.images-amazon.com/images/I/51kOYa-LHML.jpg,The Multiples Manual: Preparing and Caring for Twins or Triplets,Lynn Lorenz,18,8,Default Publisher,,
17,0962904201.jpg,http://ecx.images-amazon.com/images/I/51bWdcsbX0L.jpg,Oregon High: A Climbing Guide to Nine Cascade Volcanoes,Jeff Thomas,26,8,Default Publisher,,
18,0596527322.jpg,http://ecx.images-amazon.com/images/I/5159f7hqJjL.jpg,HTML & XHTML: The Definitive Guide (6th Edition),Chuck Musciano,6,8,Default Publisher,,
